date,relative_humidity_2m,surface_pressure,wind_speed_120m,temperature_120m
1,2025-03-22,78,1013.29998779297,18.4458656311035,9.69999980926514
2,2025-03-22 01:00:00,76,1012.70001220703,17.8036499023438,8.80000019073486
3,2025-03-22 02:00:00,73,1012.40002441406,18.1231899261475,8.30000019073486
4,2025-03-22 03:00:00,73,1012.20001220703,18.4480361938477,7.69999980926514
5,2025-03-22 04:00:00,74,1012,17.9002780914307,7
6,2025-03-22 05:00:00,75,1011.59997558594,18.1603965759277,6.40000009536743
7,2025-03-22 06:00:00,76,1011.5,18.4694347381592,6.09999990463257
8,2025-03-22 07:00:00,75,1011.29998779297,17.4289989471436,6
9,2025-03-22 08:00:00,74,1011.40002441406,17.8137588500977,6.19999980926514
10,2025-03-22 09:00:00,70,1011.5,17.8137588500977,6.90000009536743
11,2025-03-22 10:00:00,68,1011.59997558594,18.343936920166,8.10000038146973
12,2025-03-22 11:00:00,67,1011.20001220703,18.55397605896,9.89999961853027
13,2025-03-22 12:00:00,63,1010.09997558594,19.6756191253662,11.6000003814697
14,2025-03-22 13:00:00,64,1009.59997558594,18.1463489532471,12.3999996185303
15,2025-03-22 14:00:00,61,1008.70001220703,19.7691688537598,13.1999998092651
16,2025-03-22 15:00:00,63,1007.90002441406,19.6514625549316,13.1999998092651
17,2025-03-22 16:00:00,61,1007.5,21.2132034301758,12.8000001907349
18,2025-03-22 17:00:00,66,1007.70001220703,20.5360660552979,12
19,2025-03-22 18:00:00,69,1008.29998779297,19.6824798583984,10.1999998092651
20,2025-03-22 19:00:00,70,1008.79998779297,21.2037734985352,7.80000019073486
21,2025-03-22 20:00:00,71,1009,20.5087776184082,7
22,2025-03-22 21:00:00,71,1008.90002441406,19.1167469024658,6.5
23,2025-03-22 22:00:00,73,1008.5,17.813756942749,6
24,2025-03-22 23:00:00,75,1007.90002441406,17.0105838775635,5.59999990463257
25,2025-03-23,76,1007.20001220703,16.5109043121338,5.30000019073486
26,2025-03-23 01:00:00,77,1006.70001220703,15.8533906936646,5.19999980926514
27,2025-03-23 02:00:00,77,1006.40002441406,14.9482440948486,5.09999990463257
28,2025-03-23 03:00:00,77,1006.20001220703,13.5203542709351,4.90000009536743
29,2025-03-23 04:00:00,78,1005.90002441406,13.2544326782227,4.80000019073486
30,2025-03-23 05:00:00,79,1005.70001220703,12.5447196960449,4.59999990463257
31,2025-03-23 06:00:00,81,1005.90002441406,11.33225440979,4.30000019073486
32,2025-03-23 07:00:00,82,1006.09997558594,10.8415870666504,4.40000009536743
33,2025-03-23 08:00:00,82,1006.20001220703,11.0168046951294,4.69999980926514
34,2025-03-23 09:00:00,81,1006.59997558594,10.2591419219971,4.69999980926514
35,2025-03-23 10:00:00,83,1006.59997558594,9.86559677124023,4.90000009536743
36,2025-03-23 11:00:00,83,1006.5,9.86559677124023,5
37,2025-03-23 12:00:00,83,1006.29998779297,10.1636610031128,5.59999990463257
38,2025-03-23 13:00:00,84,1006.29998779297,9.21791744232178,6.30000019073486
39,2025-03-23 14:00:00,84,1006.29998779297,8.57263088226318,6.90000009536743
40,2025-03-23 15:00:00,85,1006.29998779297,7.59605169296265,7.5
41,2025-03-23 16:00:00,86,1006.29998779297,6.93541622161865,8
42,2025-03-23 17:00:00,87,1006.40002441406,6.53069686889648,8.5
43,2025-03-23 18:00:00,87,1006.59997558594,5.70087718963623,8.69999980926514
44,2025-03-23 19:00:00,90,1006.70001220703,4.30116271972656,8.60000038146973
45,2025-03-23 20:00:00,92,1006.79998779297,2.72946882247925,8.30000019073486
46,2025-03-23 21:00:00,94,1007.09997558594,2.09999990463257,7.40000009536743
47,2025-03-23 22:00:00,95,1007.29998779297,1.56524753570557,7.59999990463257
48,2025-03-23 23:00:00,96,1007.59997558594,1.00498759746552,7.19999980926514
49,2025-03-24,96,1007.5,1.07703292369843,7.09999990463257
50,2025-03-24 01:00:00,90,1007,4.17731952667236,6.09999990463257
51,2025-03-24 02:00:00,90,1007.40002441406,4.6957426071167,5.59999990463257
52,2025-03-24 03:00:00,91,1007.59997558594,5.6302752494812,5.30000019073486
53,2025-03-24 04:00:00,91,1007.90002441406,5.7628116607666,4.80000019073486
54,2025-03-24 05:00:00,91,1008.40002441406,7.15052461624146,4.19999980926514
55,2025-03-24 06:00:00,91,1009.29998779297,7.50066661834717,3.59999990463257
56,2025-03-24 07:00:00,88,1010.09997558594,7.99312210083008,3.70000004768372
57,2025-03-24 08:00:00,86,1010.59997558594,7.00357055664062,4
58,2025-03-24 09:00:00,85,1011.29998779297,5.67274188995361,4.09999990463257
59,2025-03-24 10:00:00,85,1011.90002441406,5.01198577880859,4.19999980926514
60,2025-03-24 11:00:00,85,1012.5,5.31601333618164,4.30000019073486
61,2025-03-24 12:00:00,86,1013,5.57314968109131,4.40000009536743
62,2025-03-24 13:00:00,86,1013.40002441406,5.40370273590088,4.80000019073486
63,2025-03-24 14:00:00,85,1013.70001220703,5.44518136978149,5.09999990463257
64,2025-03-24 15:00:00,85,1014.20001220703,6.30634593963623,5.30000019073486
65,2025-03-24 16:00:00,85,1014.70001220703,6.86221551895142,5.30000019073486
66,2025-03-24 17:00:00,85,1015.09997558594,6.54599094390869,5.69999980926514
67,2025-03-24 18:00:00,86,1015.59997558594,6.14654350280762,5.80000019073486
68,2025-03-24 19:00:00,87,1016.09997558594,5.54616975784302,5.90000009536743
69,2025-03-24 20:00:00,88,1016.20001220703,4.30464887619019,6
70,2025-03-24 21:00:00,88,1016.40002441406,3.61247849464417,6.19999980926514
71,2025-03-24 22:00:00,88,1016.29998779297,3.32415390014648,6.5
72,2025-03-24 23:00:00,88,1016.29998779297,5.04479932785034,6.19999980926514
73,2025-03-25,87,1016.29998779297,7.17844009399414,6.19999980926514
74,2025-03-25 01:00:00,87,1016.09997558594,8.34865283966064,6
75,2025-03-25 02:00:00,88,1015.90002441406,9.08019828796387,5.69999980926514
76,2025-03-25 03:00:00,89,1015.70001220703,9.82344150543213,5.5
77,2025-03-25 04:00:00,91,1015.5,10.3580884933472,5.40000009536743
78,2025-03-25 05:00:00,93,1015.40002441406,10.824047088623,5.30000019073486
79,2025-03-25 06:00:00,94,1015.29998779297,11.3600168228149,5.30000019073486
80,2025-03-25 07:00:00,94,1015.40002441406,12.2527551651001,5.5
81,2025-03-25 08:00:00,92,1015.5,13.2438669204712,5.80000019073486
82,2025-03-25 09:00:00,91,1015.59997558594,13.9215660095215,6.09999990463257
83,2025-03-25 10:00:00,90,1015.59997558594,14.2126703262329,6.30000019073486
84,2025-03-25 11:00:00,90,1015.70001220703,14.0918407440186,6.5
85,2025-03-25 12:00:00,90,1015.70001220703,13.8293170928955,6.59999990463257
86,2025-03-25 13:00:00,91,1015.79998779297,13.3003759384155,6.69999980926514
87,2025-03-25 14:00:00,92,1015.90002441406,12.5674180984497,6.69999980926514
88,2025-03-25 15:00:00,93,1016,11.7017087936401,6.80000019073486
89,2025-03-25 16:00:00,94,1016.20001220703,10.4690017700195,7
90,2025-03-25 17:00:00,95,1016.40002441406,9.33005809783936,7.30000019073486
91,2025-03-25 18:00:00,95,1016.70001220703,8.77097415924072,7.40000009536743
92,2025-03-25 19:00:00,95,1017,8.64002323150635,7.30000019073486
93,2025-03-25 20:00:00,94,1017.29998779297,8.91403388977051,7.09999990463257
94,2025-03-25 21:00:00,93,1017.5,9.12852668762207,6.90000009536743
95,2025-03-25 22:00:00,93,1017.59997558594,9.43663024902344,6.69999980926514
96,2025-03-25 23:00:00,92,1017.70001220703,9.79489707946777,6.40000009536743
97,2025-03-26,92,1017.70001220703,9.92471694946289,6.30000019073486
98,2025-03-26 01:00:00,91,1017.70001220703,9.69381237030029,6.40000009536743
99,2025-03-26 02:00:00,91,1017.59997558594,9.4069128036499,6.5
100,2025-03-26 03:00:00,90,1017.59997558594,9.20054340362549,6.69999980926514
101,2025-03-26 04:00:00,89,1017.59997558594,9.43663024902344,6.90000009536743
102,2025-03-26 05:00:00,88,1017.70001220703,10.2200784683228,7.19999980926514
103,2025-03-26 06:00:00,87,1017.79998779297,11.002272605896,7.30000019073486
104,2025-03-26 07:00:00,88,1017.90002441406,11.3030967712402,7.09999990463257
105,2025-03-26 08:00:00,89,1018.09997558594,11.4490175247192,6.80000019073486
106,2025-03-26 09:00:00,90,1018.20001220703,11.5451288223267,6.59999990463257
107,2025-03-26 10:00:00,91,1018.29998779297,11.4529476165771,6.59999990463257
108,2025-03-26 11:00:00,91,1018.40002441406,11.0788087844849,6.69999980926514
109,2025-03-26 12:00:00,91,1018.5,10.7615051269531,6.69999980926514
110,2025-03-26 13:00:00,91,1018.5,10.2902870178223,6.69999980926514
111,2025-03-26 14:00:00,90,1018.5,9.68349075317383,6.59999990463257
112,2025-03-26 15:00:00,90,1018.5,9.12633514404297,6.5
113,2025-03-26 16:00:00,90,1018.59997558594,8.5440034866333,6.40000009536743
114,2025-03-26 17:00:00,90,1018.90002441406,8.10061740875244,6.30000019073486
